time,ip,method,path,path_len,ua_len,data_len,count_sql_tokens,count_xss_tokens,num_params,has_sql_special_chars,predicted_class,is_anomaly,event_type,severity
2026-02-18T18:34:04.115496+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.238655+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.362442+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.471522+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.592889+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.714374+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.839127+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:04.947889+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.070776+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.193615+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.318669+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.426757+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.551690+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.674289+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.797414+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:05.923339+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.047671+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.156323+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.264699+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.385175+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.508709+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:06.614398+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:13.886595+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:13.994544+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.106492+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.228360+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.354997+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.479383+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.603939+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.714005+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.837989+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:14.961065+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.066990+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.172375+00:00,127.0.0.1,POST,/customer/login,15,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.297971+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.420609+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.543828+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.667380+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.790918+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:15.914238+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:16.039307+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:16.163122+00:00,127.0.0.1,POST,/admin/login,12,38,0,1,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:16.286181+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
2026-02-18T18:34:16.411638+00:00,127.0.0.1,POST,/admin/login,12,38,0,0,0,2,0,benign,True,brute_force_detected,high
